,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
1151,"El noventa por ciento de nuestras vidas está determinado por nuestro destino, y nuestro destino está determinado por nuestras ""almas"". Pero de vez en cuando, algo sale mal y las almas de aquellos que han tenido un destino prematuro también contaminan sus entornos, atrayendo a más almas a un círculo vicioso de mala suerte. Sakurai y Amano son un equipo de parejas extrañas que han sido contratados para lidiar con los problemas que surgen de estas almas manchadas y se les ha encomendado la tarea de encontrar a aquellos que se dirigen a una tumba temprana para evitar que se mueran o recoger sus Living Stones antes de hacer más daño.",Seinen,MANGA,Livingstone ( 2009 - 2015 ),"Psicológico, Sobrenatural, Drama, Misterio",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e0e5a870054b.jpg,212,997,958,140,81,45,8fb93110-9254-4927-80c1-cd5bd5a2f033
1152,"Leon es un mago rojo fallido que falla constantemente en los cambios de clase; como resultado, actúa como apoyo para su equipo de aventureros, Wolf Fang Sword. Eventualmente, como hacen todas las series de narou, lo despiden del grupo por no ser lo suficientemente fuerte.",Seinen,MANGA,Hazure Akamadoushi Ha Kenjyatime Ni Musou Suru,"Aventura, Ecchi, Fantasia, Romance, Comedia",5.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5fd8935ed21f3.jpg,548,1.9K,5.2K,1.3K,832,405,6a1cbe4c-ed20-48d4-9faa-8f778683d5a0
1153,"La historia gira en torno a Shunsuke Youkadou, un asalariado que está enamorado de su compañera de trabajo, Hinako Seiyuu. Sin embargo, ésta última tiene una relación a distancia con otro hombre. Un día, mientras ambos están echando horas extras en el trabajo, tienen un ""affaire"", aunque Hinako impide que pase nada. Después de eso, se establece entre ellos una relación un tanto rara en la que se acompañan mutuamente en la soledad, Shunsuke por tener un desamor y estar solo y Hinako por echar de menos a su actual pareja.",Seinen,MANGA,Usotsuki Paradox ( 2008 ),"Drama, Recuentos de la vida, Ecchi, Romance, Harem",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/634dbdb5e3c31.jpg,838,2.3K,4.2K,197,115,150,0d3784b3-f698-41e6-bb2a-1a114a0a058e
1154,"Momomi es una estudiante, que un día mientras se dirigía a un torneo donde participaba su club, ve como una mujer se desmaya frente a ella, al acercase para ayudarle, ella también se desmaya. Al despertar se da cuenta que se encuentra en un sitio desconocido junto a otras chicas, donde momentos después unos extraños seres empiezan a masacrar a todas, ahora su única esperanza de sobrevivir es el objeto que le colocaron en su muñeca.",Seinen,MANGA,Pink Royal ( 2018 - 2020 ),"Acción, Aventura, Gore",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e52e1be6e6a4.jpg,356,743,1.2K,180,107,70,fd4acaf3-bd8f-4e0d-9ad9-e8fde627f929
1155,"Antología de yuri oneshots de varios autores. ¡Un día, cuando desperté, estaba en un mundo que no conocía! Una fantasía donde las niñas fomentan nuevas relaciones en un mundo diferente! Portada: Minakata Sunao Tabla de contenido:Una bendición de diosa y una vida conveniente en otro mundo por Nonaka Yuu Soy una princesa para un solo caballero por merry hachi El caso de estar confinado por una chica Yandere en otro mundo por Numachi Doromaru A La habilidad de Harem fue equipada por defecto por Ihara Rio The You MetReflejado en Mí por Kiyan The Essence of the You I Met Una vezmás por Kiyan ASuccubus 'Love por Sekihara comenzando la vida como un gato en otro mundo por Sumire",Shoujo,MANGA,Antología Isekai Tensei Yuri,"Fantasia, Girls Love, Romance",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5fd0821b7f669.jpg,752,970,1.7K,503,248,116,159594f8-2d55-4cf3-9ee2-7d3a3599541a
1156,"<<Manga completamente a color>> El tema principal es la aparición de un alien cuyo objetivo es que Konjiki no Yami vuelva a ser el asesino despiadado que alguna vez fue. Para ello, envía a Kurosaki Mea, otra asesina con la misma habilidad de transformación y quien se declara hermana menor de Yami. Mientras tanto, Momo está obsesionada con crear un Harem para Rito de quien también está enamorada. En este harem pretende incluir a Lala, Nana, Haruna, Yui, Run, Kyoko, Saki e incluso a Yami y cuanta chica sea cercana a Rito.",Shounen,MANGA,To LOVE-Ru Darkness Full Color ( 2012 - 2017 ),"Acción, Comedia, Drama, Ecchi, Fantasia, Sobrenatural, Romance, Ciencia Ficción, Harem, Vida Escolar",9.50,FINALIZADO,https://otakuteca.com/images/books/cover/617eec70f174c.jpg,1.1K,1.5K,2.2K,359,125,51,a63a5725-f933-4fca-b8cb-dd9d0c646efd
1157,"La historia comienza a mediados de ""Full Metal Panic! The Second Raid"" y es la continuación directa del manga Full Metal Panic! Cubriendo la historia que no fue adaptada al anime, la trama vuelve a los campos de guerra en contra de los terroristas, que además se vuelven más peligrosos. También veremos el sufrir de Sōsuke con respecto al Arbalest, ya que el no poder comprender como funciona el lambda driver le provoca desesperación y odio hacia el AS, lo que le impide concentrarse e incluso le lleva a desertar de su misión. La violencia es más cruda y los momentos humorísticos son contados, además de tener menos fan service aunque más explícito.",Seinen,MANGA,Full Metal Panic! Sigma ( 2005 ),"Acción, Comedia, Drama, Romance, Ciencia Ficción, Mecha",9.18,FINALIZADO,https://otakuteca.com/images/books/cover/10102_TMOmanga.jpg,959,1.4K,1.1K,310,80,35,806831b0-1970-44f5-8971-f1381edcf29e
1158,"Un día, de repente, ¡Un ángel descendió del cielo!? Mientras se dirigía hacia la ceremonia de ingreso a la universidad, Yuu se encuentra con una chica misteriosa e insociable. Yuu, quien no puede evitar sentir curiosidad por ella, que es tan libre y dispuesta como un gato callejero, gradualmente se acorta la distancia entre ellos. A medida que se mezclan varios sentimientos, su vínculo se fusiona, pero lo que se puede ver más allá de eso es...",Seinen,MANGA,Monochrome Lovers ( 2018 ),"Drama, Romance, Vida Escolar, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b7ccd996f423.jpg,66,476,1.3K,86,49,41,5c48559c-9ddd-4fc8-bf79-b29e0a4bc02b
1159,"Después de haber sido traicionado por su país, Jirou deja atrás su pasado como Hitman y regresa a Japón donde nada mas importa en sus ojos. Pero eso es antes de conocer a Nami, una Hitman activa buscando venganza por la muerte de su padre. Entonces Jirou es llevado nuevamente a ese mundo y hace equipo con ella. Pero no es cualquier Hitman, ¡es un Wallman!.",Seinen,MANGA,Wallman ( 2013 ),"Acción, Comedia, Ecchi, Artes Marciales",9.09,FINALIZADO,https://otakuteca.com/images/books/cover/8096_TMOmanga.jpg,1.5K,1.8K,2.1K,235,120,63,2c6c54c1-451a-4edc-913f-f6096de6067f
1160,"¡Los héroes legendarios de la época de los Tres Reinos han revivido en la actualidad! ¡Ha comenzado la continuación de la famosa saga Ikkitousen! Sonken se ha transferido a la secundaria alta Nanyou, ¡¿allí recibirá su iniciación?!",Seinen,MANGA,Shin Ikkitousen ( 2015 ),"Acción, Ecchi, Artes Marciales, Sobrenatural, Comedia, Vida Escolar",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5cc541f154514.jpg,181,1.5K,2.2K,422,206,164,90728206-20b8-4fda-94a1-9428cb49b402
