,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
20,"Jian Chen, el experto públicamente reconocido de Jianghu, por su habilidad con la espada, después de una batalla con el excepcional experto Dugu Qiubai que había ido carente de más de 100 años atrás, en la pelea Chen Jian sucumbió a sus heridas y murió. Después de la muerte , el espíritu de Jian Chen fue transmigrado a un mundo completamente extraño . Después de un extremadamente rápido progreso , sus enemigos se apilaron uno tras otro antes de ser herido de gravedad. En las puertas de la muerte , su espíritu muto, y desde ese momento en adelante, él seguiría un camino completamente diferente del arte de la espada para convertirse en el dios de la espada de su generación .",Shounen,MANHUA,Chaotic Sword God ( 2018 ),"Acción, Aventura, Artes Marciales, Reencarnación, Fantasia, Romance, Harem",4.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/37649_TMOManga5ab895d49ad23.jpg,1.4K,4K,16.2K,2.1K,1.1K,1.1K,4274ef74-80fd-466c-b884-5e2b168511eb
21,"Un día, Song Shuhang fue repentinamente añadido a un grupo de chat con muchos seniors que padecían del síndrome chuuni. Las personas dentro del grupo se llamarían unos a otros como ‘compañero daoísta’ y todos tenían diferentes tipos de títulos: Palace Master, Cave Lord, True Monarch, Inmortal Master, etc. E incluso la mascota del fundador del grupo que había escapado de casa era llamada ‘Monster Dog’. Hablarían todos los días acerca de refinar píldoras, explorar ruinas ancestrales o compartir sus experiencias en técnicas. Como sea, después de espiar al grupo por un tiempo, descubrió que no todo era lo que parecía...",Shounen,MANHUA,Cultivation Chat Group ( 2017 ),"Acción, Aventura, Comedia, Fantasia, Artes Marciales, Vida Escolar, Recuentos de la vida",7.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/38417_TMOManga5ad1a60c6206f.jpg,1.2K,4K,13.4K,2K,965,792,c3ec5d99-d224-4844-899a-190720acd2ab
22,"Fang Hong es estudiante de un Daoísta. Un día, bajó de la montaña para encontrar a su prometida.",Shounen,MANHUA,Metropolitan Reverence ( 2019 ),"Acción, Aventura, Comedia, Harem, Artes Marciales, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5de4976d49ed8.jpg,1.1K,3.1K,9.4K,1.9K,997,572,4cceaec5-576c-4a08-b1c0-aab07f3050c7
23,"¡Reciclaje de viejos soldados mágicos, armaduras rotas y métodos podridos! ¡El principal jefe de la estación de salvamento, Tang Fei está en ascenso! Es el heredero más talentoso de la familia Tang, pero debido a que tuvo que permanecer en vigilia, perdió cinco años para construir su fundación y se convirtió en un sirviente. ¡Pero el anillo dejado por su abuelo lo hizo refinar los desechos en tesoros! En sus manos, el desperdicio puede ser renovado; lo viejo puede ser nuevo, y el tiempo y el espacio pueden ser alterados. ¡No hay desperdicio en este mundo, solo un tesoro en el lugar equivocado, sigue a Tang Fei y mira cómo refina el desperdicio!",Shounen,MANHUA,Lian Fei Wei Bao ( 2020 ),"Acción, Aventura, Fantasia, Artes Marciales, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e3885b1e2977.jpg,781,2K,5.8K,1.1K,675,417,daffb41f-d155-4630-b035-62003008a43c
24,"La asesina más fuerte de una fuerza especial de asesinato conoció su muerte un día en una misión. Para su sorpresa, ella se despertó en el cuerpo de una niña de 13 años en el pasado, ella se entera con los recuerdos de la niña de que estaba siendo intimidada por todos debido a una gran marca de nacimiento en su cara a pesar de que provenía de una familia de renombre, desde ese momento ella tendrá que vivir en el pasado y enfrentar nuevas dificultades teniendo todos los conocimientos que posee del futuro, podrá ella sobrevivir?",Shoujo,MANHUA,Fenglin Tianxia - Wangfei Shisansu ( 2016 ),"Acción, Aventura, Drama, Fantasia, Romance, Artes Marciales, Reencarnación",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/12562_TMOmanga230243.jpg,2.2K,6.4K,18K,2.7K,991,1.4K,a4a69810-d363-4444-ab19-9154ac0bcb3e
25,"En un mundo de artes marciales, un joven llamado Wu no era capaz de practicarlas debido a su cuerpo especial, ¿Tendrá que aceptar su destino y vivir una vida siendo humillado y visto hacia abajo por los demás o se levantara y ¿se convertirá en un maestro?",Shounen,MANHUA,Peak of Martial Arts ( 2016 ),"Acción, Aventura, Comedia, Recuentos de la vida, Fantasia, Sobrenatural, Artes Marciales",9.12,FINALIZADO,https://otakuteca.com/images/books/cover/12308_TMOManga57fcd21fe28e7.jpg,3.2K,2.8K,11.4K,407,207,321,65527e21-3a13-4bc4-a5bf-b069af15d7ed
26,"Un monje taoísta chino, He Xun, reencarna su alma en el cuerpo de un chico japonés de secundaria. He Xun, ahora Tanaka Mamoru, usa sus poderes de cultivo para alejar a los demonios. Entre sus encuentros, un zorro demonio conocido como Miyazawa Momoko, sufre una humillante derrota ante él. Decidida a vengarse de quien la derrotó, Miyazawa se transforma en una chica de secundaria y asiste a clases con Tanaka en un intento de seducirlo.",Shounen,MANHUA,High School Taoist ( 2019 ),"Aventura, Fantasia, Harem, Romance, Vida Escolar, Sobrenatural, Reencarnación",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d3e0433340b9.jpg,907,3K,7.6K,1.6K,943,492,f2b387ee-00d8-4289-894c-3db0345e1980
27,"Tras un accidente de coche, Yang Ning ha conseguido inexplicablemente un conjunto de habilidades. Parece haber entrado en un sistema de juego. En el mundo real, hay atributos, tareas, almacenes y tiendas, y la habilidad de identificar y ver antigüedades. Usó esta habilidad para filtrarse en el mercado de antigüedades y ganar dominio en el mercado. ¿Qué más hará? Oh, chica bonita. ¡Ven a comprar mis mercancías! ¡Te prometo que no te engañaré! ¿Tal vez? ¡Cállate sistema! ¡No te atrevas a engañarme a mí también!",Shounen,MANHUA,Sistema de supremacía metropolitano ( 2020 ),"Acción, Aventura, Comedia, Fantasia, Magia, Ciencia Ficción, Sobrenatural",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e79f6912d9a5.jpg,1.2K,3.3K,11K,2.2K,1K,601,ca5c6270-ff3b-4998-834e-0ef970d8b1ca
28,"En la adversidad de la vida, las personas no son tan buenas como los perros. Una vez que abrí mis poderosos ojos, ¡vi la fealdad y la belleza del mundo! ¿Cuál es el secreto detrás del cuerpo femenino en el ataúd de jade, el misterioso libro de bronce, la aleación antigua ...",Shounen,MANHUA,Super X-Ray Eyes ( 2018 ),"Comedia, Familia, Misterio, Recuentos de la vida, Superpoderes",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f4148387a9ef.jpg,383,1.4K,2.6K,614,388,270,8c45244b-78b9-4963-a64f-b0b568255ebb
29,"Entre los doce apóstoles que se encuentran en la cima del mundo hoy, Ullman es considerado el ser más fuerte. Pero al mismo tiempo era el apóstol que la mayoría de los seres humanos no podían adivinar. ¿Porque nadie sabe lo que quiere, riqueza? Reputación? ¿Poder? No vale la pena mencionarlos en sus ojos. Ahora, tal apóstol aparece calladamente en el ejército del imperio humano. Ullman: ""¡Sí! Estoy aquí para encontrar a mi futura esposa ...!""",Shounen,MANHUA,Apóstol Infinito y las Doce Chicas de Guerra ( 2020 ),"Acción, Aventura, Comedia, Fantasia, Harem, Romance, Magia",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e3f215e4fabd.jpg,2.4K,7.7K,22.7K,5.4K,2.2K,1.5K,f5cc40c5-2941-4773-8855-219261d95cbd
